ID,Name,Category,Pictures,Price,Featured,Status,Updated,ImageLinks,DescriptionSummary
238,238 Antique Pair Japanese Noritake Hand Painted Vases Urns Centerpieces Pink Roses,Porcelain - Antiques in Dublin Ireland,8 x,€485.00,No,1,30/07/2023,"['https://file.4pm.ie/933/2c7a26ab.jpg', 'https://file.4pm.ie/933/454c7464.jpg', 'https://file.4pm.ie/933/4e95d95e.jpg', 'https://file.4pm.ie/933/d866b992.jpg', 'https://file.4pm.ie/933/48d49ebe.jpg', 'https://file.4pm.ie/933/aff08895.jpg', 'https://file.4pm.ie/933/27ce2790.jpg', 'https://file.4pm.ie/933/521743ac.jpg']",Materials: Porcelain
239,239 Boxed Rare Set of Dublin Themed Placemats by the famed Ladyclare Company,Irish Collection - Irish Antiques from Dublin - Ireland,6 x,€95.00,No,1,15/06/2018,"['https://file.4pm.ie/837/c01ae35b.jpg', 'https://file.4pm.ie/837/3a7d4285.jpg', 'https://file.4pm.ie/837/8b311b03.jpg', 'https://file.4pm.ie/837/a7b8a499.jpg', 'https://file.4pm.ie/837/70939c22.jpg', 'https://file.4pm.ie/837/9e3a4e6d.jpg']","Height: 8.75 (22cm), Width: 11.75 (30cm); Provenance: Made in England. All mats are finished with hard wearing lacquer and heat resistant to ; Features: Rare piece"
240,240 Sold Attributed to Benedetto Boschetti Fine Bronze Bust of Ajax 19thCt,Recently Sold,7 x,€975.00,No,2,21/10/2020,"['https://file.4pm.ie/837/fd15c275.jpg', 'https://file.4pm.ie/837/b844b979.jpg', 'https://file.4pm.ie/837/7fea21d.jpg', 'https://file.4pm.ie/837/e431892f.jpg', 'https://file.4pm.ie/837/31cc376.jpg', 'https://file.4pm.ie/837/c2436a6c.jpg', 'https://file.4pm.ie/837/c3775b06.jpg']","Width: 5.5 (13.5cm); Materials: Bronze, Marble; Features: Original condition; State: Original condition"
